Wall time,Step,Value
1751243199.0887308,12288,-64440.74609375
1751243202.275563,14336,-65086.70703125
1751243211.927125,22528,-64312.3125
1751243213.837499,24576,-64563.40234375
1751243222.192043,30720,-64584.26953125
1751243224.289013,32768,-64711.37109375
1751243229.9048572,38912,-64484.21875
1751243233.842759,40960,-64301.60546875
1751243240.217433,43008,-64234.83984375
1751243256.298832,51200,-64220.59765625
1751243281.212714,69632,-64399.46875
1751243291.234251,75776,-64666.2734375
1751243304.4053838,83968,-64657.5390625
1751243308.6971278,88064,-64618.12109375
1751243314.932436,92160,-64395.3671875
1751243317.5918238,94208,-64441.22265625
1751243321.433739,98304,-64898.5078125
1751243327.6291761,102400,-64940.70703125
1751243337.9064178,110592,-64882.03515625
1751243339.676749,112640,-64878.46484375
1751243341.570229,114688,-64793.9140625
1751243343.351962,116736,-64907.37109375
1751243345.314311,118784,-64921.81640625
1751243361.1635451,131072,-64388.8671875
1751243365.0246751,135168,-64804.7578125
1751243366.795041,137216,-64624.67578125
1751243370.270111,139264,-64518.13671875
1751243389.869707,141312,-64561.73046875
1751243398.26382,147456,-64228.84765625
1751243400.454915,149504,-63901.953125
1751243406.122248,151552,-63834.68359375
1751243408.2985091,153600,-63867.94140625
1751243421.287097,163840,-63738.7109375
1751243432.768106,174080,-63265.82421875
1751243440.12461,180224,-63025.5703125
1751243442.135467,182272,-62988.6171875
1751243455.544522,194560,-62724.203125
1751243474.0540009,210944,-62487.05078125
1751243479.561856,217088,-62375.44140625
1751243481.620054,219136,-62431.61328125
1751243498.509503,233472,-62511.484375
1751243504.055406,239616,-62079.5625
1751243509.349951,243712,-61831.88671875
1751243524.591756,258048,-61659.0234375
1751243528.082216,260096,-61556.45703125
1751243534.19548,266240,-61662.921875
1751243535.8624861,268288,-61925.56640625
1751243555.0919418,282624,-62460.98828125
1751243558.980895,286720,-62392.9375
1751243565.876757,290816,-62441.53515625
1751243567.596703,292864,-62396.44921875
1751243569.4445062,294912,-62381.890625
1751243584.796961,309248,-62153.54296875
1751243595.8774211,319488,-61952.05859375
1751243601.282356,323584,-61661.81640625
1751243603.181136,325632,-61456.0390625
1751243604.956875,327680,-61506.0625
1751243614.737417,333824,-61645.921875
1751243623.267298,339968,-61142.59375
1751243629.703308,344064,-60654.546875
1751243631.5505211,346112,-60181.359375
1751243640.4228961,352256,-59704.87109375
1751243655.334144,364544,-58893.39453125
1751243657.332329,366592,-58631.98046875
1751243663.3869061,370688,-58469.484375
1751243670.259509,376832,-58275.22265625
1751243676.03943,380928,-58145.33203125
1751243677.842011,382976,-58056.09375
1751243681.814744,387072,-57891.1640625
1751243691.202946,391168,-57791.0078125
1751243693.1748428,393216,-57816.1171875
1751243709.99008,407552,-57654.9140625
1751243734.5155342,423936,-57080.046875
1751243738.662836,425984,-57058.4296875
1751243740.9488928,428032,-57135.93359375
1751243751.2361128,436224,-57264.375
1751243774.678519,456704,-56109.44921875
1751243776.5726259,458752,-56364.02734375
1751243782.360808,462848,-56143.06640625
1751243786.073834,466944,-56063.18359375
1751243791.474592,471040,-55821.01953125
1751243796.668525,477184,-55489.55078125
1751243798.587292,479232,-55361.04296875
1751243802.086903,481280,-55150.05859375
1751243807.534733,487424,-54834.40625
1751243831.675047,507904,-54608.55859375
1751243836.866079,512000,-54284.015625
1751243849.362699,524288,-53958.796875
1751243856.5884402,530432,-54055.19140625
1751243858.281404,532480,-53929.484375
1751243860.302229,534528,-53519.53125
1751243862.262965,536576,-53493.359375
1751243869.972758,540672,-53097.8984375
1751243878.3436658,548864,-53074.89453125
1751243884.168489,552960,-53002.03515625
1751243887.897942,557056,-53025.96484375
1751243893.746447,561152,-52940.6640625
1751243904.6445959,571392,-52969.234375
1751243917.285136,583680,-52139.890625
1751243932.101554,598016,-52043.8515625
1751243936.4966779,600064,-52071.34375
1751243948.206315,610304,-51767.28125
1751243950.1724842,612352,-51545.0234375
1751243955.308734,618496,-51068.75
1751243958.775413,620544,-50869.8046875
1751243960.5122402,622592,-50659.1640625
1751243969.8943412,630784,-50155.88671875
1751243971.609076,632832,-50285.52734375
1751243975.2609541,636928,-50018.88671875
1751243983.054604,643072,-49970.34765625
1751243992.1999161,651264,-49673.8203125
1751243994.211221,653312,-49749.703125
1751243996.46607,655360,-49581.74609375
1751243998.5436978,657408,-49417.34765625
1751244004.9668758,661504,-49411.6328125
1751244010.2473001,667648,-48818.4921875
1751244011.991779,669696,-48679.1953125
1751244015.853183,671744,-48340.80859375
1751244021.249923,677888,-47572.25390625
1751244029.073946,684032,-47466.60546875
1751244042.0864,696320,-47703.45703125
1751244047.8889759,700416,-47226.02734375
1751244053.4586089,706560,-47055.5859375
1751244055.835009,708608,-46899.85546875
1751244061.478252,712704,-46350.96484375
1751244063.36727,714752,-46228.546875
1751244074.620575,724992,-44925.54296875
1751244076.579241,727040,-44592.1796875
1751244085.630239,735232,-44368.5546875
1751244089.287102,739328,-44342.671875
1751244096.669164,745472,-44640.77734375
1751244105.9964402,753664,-44651.875
1751244116.091871,761856,-44868.36328125
1751244119.875403,765952,-44662.046875
1751244129.14991,774144,-44643.41015625
1751244130.9967191,776192,-44601.65234375
1751244132.785613,778240,-44480.6875
1751244140.099711,782336,-44623.1171875
1751244142.221326,784384,-45032.5546875
1751244158.066476,792576,-45291.296875
1751244160.3906078,794624,-45359.1015625
1751244172.430101,802816,-45040.99609375
1751244175.196464,804864,-45019.57421875
1751244177.701666,806912,-44821.74609375
1751244203.420919,827392,-43790.12109375
1751244217.136915,837632,-43698.125
1751244236.356713,851968,-42604.21484375
1751244238.431624,854016,-42605.69921875
1751244251.695313,864256,-41994.92578125
1751244253.895127,866304,-41918.38671875
1751244260.5319412,870400,-42076.2421875
1751244265.0521338,874496,-41877.19921875
1751244276.036829,882688,-41675.76171875
1751244300.239039,901120,-41184.29296875
1751244305.326988,905216,-40930.42578125
1751244309.0827641,907264,-40869.33203125
1751244326.653922,913408,-40804.30859375
1751244342.284076,925696,-41018.47265625
1751244363.138699,940032,-40635.28515625
1751244365.2733471,942080,-40785.29296875
1751244367.317922,944128,-40827.48046875
1751244369.193488,946176,-40739.40234375
1751244375.057384,950272,-40646.65625
1751244377.347224,952320,-40814.29296875
1751244383.3761559,958464,-40788.02734375
1751244387.597661,960512,-40431.4609375
1751244399.970589,970752,-40258.578125
1751244402.04031,972800,-40231.8984375
1751244427.820281,995328,-39873.50390625
1751244435.700733,1001472,-39984.44140625
1751244438.184327,1003520,-39961.02734375
1751244442.214326,1007616,-39944.6640625
1751244448.367019,1011712,-39703.23046875
1751244455.635767,1017856,-39375.02734375
1751244486.1965172,1040384,-39465.0859375
1751244494.649062,1048576,-39305.53125
1751244498.4208288,1050624,-39344.62890625
